house name,price per week,room type,bedroom,bathroom,parking,school 1,distance 1,school 2,distance 2,school 3,distance 3,school 4,distance 4,school 5,distance 5
15 Fidelitas Way Cranbourne South Vic 3977,560,House,4,2,0,Barton Primary School,1654,Woodlands Primary School,2501,Cranbourne South Primary School,2565,Cranbourne West Secondary College,2760,Skye Primary School,2896
15 Pittos Avenue Brookfield Vic 3338,390,House,4,2,2,Melton West Primary School,1367,Melton Christian College,1805,Wedge Park Primary School,2240,Melton Specialist School,2534,Melton Secondary College,2555
15 Ruairi Court Kurunjang Vic 3337,320,House,2,1,1,Kurunjang Primary School,935,Kurunjang Secondary College,937,Melton Secondary College,1300,St Dominic's Primary School,1309,Melton Specialist School,1310
15 The Crest Bulleen Vic 3105,500,House,3,1,2,Marcellin College,912,St Clement of Rome School,1001,Belle Vue Primary School,1321,Bulleen Heights School,1406,Boroondara Park Primary School,1540
1510/22-24 Jane Bell Lane Melbourne Vic 3000,470,Apartment,1,1,0,Holmes Secondary School,523,Carlton Gardens Primary School,950,Stott's College,986,Academy of Mary Immaculate,1045,Ozford College,1086
1559 Heatherton Road Dandenong North Vic 3175,380,House,3,1,2,Dandenong North Primary School,867,Emerson School,1184,Wooranna Park Primary School,1269,Dandenong High School,1372,St Gerard's Primary School,1408
156 Station Road Melton Vic 3337,400,House,4,1,2,Coburn Primary School,676,St Dominic's Primary School,1099,Melton Primary School,1214,Melton Secondary College,1241,Melton Specialist School,1263
15B Albion Street South Yarra Vic 3141,950,House,3,2,2,South Yarra Primary School,114,Christ Church Grammar School,446,Wesley College,825,Victorian College For The Deaf,845,Prahran High School,1061
15/110 Caroline Street South Yarra Vic 3141,360,Apartment,1,1,1,Melbourne High School,473,Melbourne Girls' Grammar School - an Anglican School,592,Christ Church Grammar School,637,Kamaruka Education Centre,791,South Yarra Primary School,955
16 Gardenview Court Templestowe Vic 3106,740,House,4,2,2,St Charles Borromeo Primary School,1191,Serpell Primary School,1354,Templestowe Park Primary School,1396,Templestowe College,1555,Doncaster Gardens Primary School,1708
163 Browns-Scarsdale Rd Scarsdale Vic 3351,480,House,4,1,2,Woady Yaloak Primary School - Scarsdale Campus,2228,Woady Yaloak Primary School - Smythesdale Campus,2783,Woady Yaloak Primary School - Ross Creek Campus,8336,Cape Clear Primary School,8824,Woady Yaloak Primary School - Snake Valley Campus,9545
16/667 Glenhuntly Road Caulfield Vic 3162,450,Apartment,2,1,1,Caulfield Primary School,301,The Japanese School of Melbourne Ltd,717,Melbourne Montessori School,741,Wesley College Elsternwick Campus,746,Adass Israel School,811
17 Alfred Park Drive Tarneit Vic 3029,425,House,3,2,2,Baden Powell P-9 College,500,St Francis of Assisi Catholic Primary School,843,Thomas Carr College,843,Tarneit P-9 College,1714,Tarneit Senior College,1755
17 Freedom Drive Mount Duneed Vic 3217,520,House,4,2,2,Mirripoa Primary School,714,Geelong Lutheran College,1130,Mount Duneed Regional Primary School,1224,Grovedale College,2362,Grovedale West Primary School,2363
1707/243 Franklin Street Melbourne Vic 3000,480,Apartment,2,1,0,Haileybury College - City Campus,369,Ozford College,419,Simonds Catholic College,535,St Joseph's Flexible Learning Centre,638,Stott's College,1301
1718/8 Daly Street South Yarra Vic 3141,450,Apartment,1,1,0,Kamaruka Education Centre,276,Melbourne High School,283,Christ Church Grammar School,793,South Yarra Primary School,932,Richmond Primary School,991
