,0
400,202.46668739
401,1264.76570573
402,820.30059509
403,1707.034972
404,None
405,None
406,1813.02667904
407,None
408,1344.87368047
409,None
410,None
411,None
412,None
413,None
414,1356.38958531
415,None
416,1185.95371354
417,791.75992341
418,1663.09220916
419,264.92882706
420,1217.67322558
421,None
422,489.27681804
423,710.81331862
424,1031.48772783
425,None
426,None
427,None
428,1990.86589356
429,1188.16146545
430,1896.57502183
431,None
432,None
433,None
434,None
435,None
436,1760.69109004
437,None
438,None
439,1443.93643946
440,None
441,1259.77154125
442,None
443,1066.53548959
444,644.83128171
445,None
446,1097.21085179
447,None
448,1700.07293839
449,None
450,None
451,1962.01712928
452,1448.17041164
453,None
454,None
455,1742.68625876
456,1466.70778869
457,896.84293839
458,1242.35683463
459,1609.37472019
460,1279.9466562
461,None
462,1950.29678957
463,91.85958555
464,681.45634608
465,None
466,None
467,1200.77432106
468,1060.96332999
469,1665.67210853
470,812.65797524
471,None
472,None
473,None
474,1912.09243527
475,None
476,396.81708794
477,1076.90461285
478,1297.17223032
479,None
480,None
481,None
482,None
483,None
484,None
485,1404.52147275
486,1952.96240525
487,None
488,433.6172469
489,451.31677975
490,247.74020721
491,None
492,None
493,1393.86032142
494,None
495,1942.99789095
496,1032.50140311
497,1863.74255947
498,1751.63491382
499,455.48986595
500,None
501,1444.98796821
502,None
503,None
504,556.34650172
505,1395.28162325
506,None
507,1766.04738297
508,1159.86726126
509,1834.74157393
510,None
511,None
512,957.75221193
513,None
514,488.34778588
515,None
516,None
517,None
518,None
519,None
520,None
521,None
522,None
523,1392.10559532
524,None
525,None
526,None
527,None
528,None
529,1036.16130392
530,None
531,1192.80774927
532,1711.71779651
533,1079.93788428
534,1909.18684685
535,None
536,1908.03484592
537,1607.34161747
538,None
539,1138.39495244
540,None
541,None
542,None
543,1656.57177195
544,None
545,528.41043407
546,1437.35742944
547,None
548,1187.06180119
549,1969.06860555
550,None
551,None
552,1458.51274995
553,1257.50847855
554,None
555,None
556,None
557,527.00001301
558,1018.28833737
559,None
560,1370.45694115
561,474.00712432
562,None
563,None
564,1100.77940864
565,493.52428135
566,1117.16266627
567,1251.450735
568,None
569,437.94335619
570,None
571,1839.88234524
572,None
573,None
574,None
575,1219.20114047
576,1776.85981267
577,None
578,None
579,None
580,None
581,660.0607373
582,1392.33216824
583,1839.88234524
584,None
585,1620.77869074
586,1776.85981267
587,None
588,None
589,None
590,1809.61544647
591,1836.87507918
592,None
593,838.7446986
