,Suburbs,Addresses,Price per week ($),Bedrooms,Bathrooms,Garages,Land Sizes (m^2),Nearest Schools
1713,WHITE HILLS VIC 3550,"3/18A Heinz Street, WHITE HILLS VIC 3550",$410,3,2,1,,"['0.8 km away', '1.8 km away', '4.3 km away']"
1714,BOX HILL VIC 3128,"2/77 Albion Road, BOX HILL VIC 3128",$580,1,1,1,,"['0.8 km away', '0.8 km away', '6.3 km away']"
1715,MOONEE PONDS VIC 3039,"H1511/40 Hall Street, MOONEE PONDS VIC 3039",$430,2,1,1,,"['1.1 km away', '2.1 km away', '8.3 km away']"
1716,SHEPPARTON VIC 3630,"4/17 Middleton Street, SHEPPARTON VIC 3630",$310,1,1,1,,"['1.1 km away', '2.8 km away', '0.4 km away']"
1717,MURRUMBEENA VIC 3163,"1/1 Looker Street, MURRUMBEENA VIC 3163",$280,1,1,1,,"['0.3 km away', '2.9 km away', '4.3 km away']"
1718,ST KILDA VIC 3182,"5/35 Jackson Street, ST KILDA VIC 3182",$390,2,1,1,,"['0.4 km away', '2.4 km away', '4.1 km away']"
1719,ECHUCA VIC 3564,"1/90 Hare Street, ECHUCA VIC 3564",$1690,2,1,1,,"['0.2 km away', '1.6 km away', '2.5 km away']"
1720,RESERVOIR VIC 3073,"2/24 O'Connor Street, RESERVOIR VIC 3073",$430.00,2,1,1,,"['0.2 km away', '1.7 km away', '6.2 km away']"
1721,SOUTH YARRA VIC 3141,"1102/32 Bray Street, SOUTH YARRA VIC 3141",$525,2,1,1,,"['0.9 km away', '1.3 km away', '2.9 km away']"
1722,SOUTH YARRA VIC 3141,"1203/77 River Street, SOUTH YARRA VIC 3141",$570,3,1,2,,"['0.8 km away', '1.7 km away', '2.2 km away']"
1723,NUNAWADING VIC 3131,"2A Menin Road, NUNAWADING VIC 3131",$450,2,1,1,,"['0.3 km away', '2.4 km away', '2.7 km away']"
1724,RESERVOIR VIC 3073,"3/40 Acheron Avenue, RESERVOIR VIC 3073",$380,1,1,0,,"['0.3 km away', '1.1 km away', '5.5 km away']"
1725,MELBOURNE VIC 3000,"202/243 Franklin Street, MELBOURNE VIC 3000",$350,1,1,1,,"['1.4 km away', '1.4 km away', '0.4 km away']"
1726,BRUNSWICK EAST VIC 3057,"17/67 Nicholson Street, BRUNSWICK EAST VIC 3057",$395.00,1,1,0,,"['0.7 km away', '1 km away', '1.5 km away']"
1727,WEST MELBOURNE VIC 3003,"302/53 Batman Street, WEST MELBOURNE VIC 3003",$420.00,2,2,1,,"['1.4 km away', '1.6 km away', '0.1 km away']"
1728,GLEN WAVERLEY VIC 3150,"317/2 Snedden Drive, GLEN WAVERLEY VIC 3150",$660.00,1,1,0,,"['0.2 km away', '0.4 km away', '12.8 km away']"
1729,MELBOURNE VIC 3000,"FLAT 212/500 FLINDERS STREET, MELBOURNE VIC 3000",$380.00,1,1,0,,"['2.6 km away', '1.1 km away', '1.6 km away']"
1730,WEST MELBOURNE VIC 3003,"1203/392 Spencer Street, WEST MELBOURNE VIC 3003",$400,2,1,1,,"['1.4 km away', '1.6 km away', '0.2 km away']"
1731,MELBOURNE VIC 3000,"1102/22-24 Jane Bell Lane, MELBOURNE VIC 3000",$600,3,1,1,,"['1 km away', '1.7 km away', '0.4 km away']"
